# pkg	old-name	new-name — appended by Tasks 3–5; consumed by Task 8
internal/gitcli	TestBeginRebaseNoop	TestIntegrationRepoBeginRebaseNoop
internal/gitcli	TestBeginRebaseRewrites	TestIntegrationRepoBeginRebaseRewrites
internal/gitcli	TestBeginRebaseConflict	TestIntegrationRepoBeginRebaseConflict
internal/gitcli	TestBeginRebaseRefusals	TestIntegrationRepoBeginRebaseRefusals
internal/gitcli	TestStageAndContinueRebaseMultiConflict	TestIntegrationRepoStageAndContinueRebaseMultiConflict
internal/gitcli	TestAbortRebaseRestoresOrig	TestIntegrationRepoAbortRebaseRestoresOrig
internal/gitcli	TestOwnedRefFence	TestIntegrationRepoOwnedRefFence
internal/gitcli	TestDeleteLocalBranchChecked	TestIntegrationRepoDeleteLocalBranchChecked
internal/gitcli	TestDeleteRemoteRefLease	TestIntegrationRepoDeleteRemoteRefLease
internal/gitcli	TestPushLeaseAppliedWhenExpectedMatches	TestIntegrationRepoPushLeaseAppliedWhenExpectedMatches
internal/gitcli	TestPushLeaseLostWhenRemoteAdvanced	TestIntegrationRepoPushLeaseLostWhenRemoteAdvanced
internal/gitcli	TestPushLeaseFailedNotLeaseLostOnTransportError	TestIntegrationRepoPushLeaseFailedNotLeaseLostOnTransportError
internal/gitcli	TestPushCreateLeaseAppliedOnAbsentRef	TestIntegrationRepoPushCreateLeaseAppliedOnAbsentRef
internal/gitcli	TestPushCreateLeaseLostWhenRefCreatedWithDivergentCommit	TestIntegrationRepoPushCreateLeaseLostWhenRefCreatedWithDivergentCommit
internal/gitcli	TestPushCreateLeaseAdoptsOwnLostResponse	TestIntegrationRepoPushCreateLeaseAdoptsOwnLostResponse
internal/gitcli	TestPushCreateLeaseFailedNotLeaseLostOnTransportError	TestIntegrationRepoPushCreateLeaseFailedNotLeaseLostOnTransportError
internal/gitcli	TestIsAncestorTruthTable	TestIntegrationRepoIsAncestorTruthTable
internal/gitcli	TestAddDetachedWorktreeRegistersDetachedAndPreservesPrimary	TestIntegrationRepoAddDetachedWorktreeRegistersDetachedAndPreservesPrimary
internal/gitcli	TestRemoveWorktreeForcesDirtyWorktreeAndRejectsUnregistered	TestIntegrationRepoRemoveWorktreeForcesDirtyWorktreeAndRejectsUnregistered
internal/gitcli	TestAddBranchWorktreeCreatesBranchAndRefusesReset	TestIntegrationRepoAddBranchWorktreeCreatesBranchAndRefusesReset
